This job can be monitored from: https://job.c3se.chalmers.se/alvis/6337436
============================================================
CFG Fine-tuning — started 2026-04-05 18:36:21
Log: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg/training_cfg.log
Pretrained model: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Saving to:        /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg
CFG drop prob: 0.15  |  Fine-tune epochs: 200  |  LR: 5e-05
============================================================
Device: cuda
Train=425, Val=75
Loaded DVF stats: mean=-3.174312, std=10.820530
Loaded pretrained weights from: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Starting CFG fine-tuning from scratch...
Epoch 084/200 | λ=1.00e-04 | LR=3.16e-05 | Train [Total=0.01304 MSE=0.01277 Smooth=0.00027] | Val   [Total=0.00607 MSE=0.00508 Smooth=0.00099]
Epoch 085/200 | λ=1.00e-04 | LR=3.12e-05 | Train [Total=0.01168 MSE=0.01145 Smooth=0.00024] | Val   [Total=0.00766 MSE=0.00667 Smooth=0.00098]
Epoch 086/200 | λ=1.00e-04 | LR=3.08e-05 | Train [Total=0.01430 MSE=0.01408 Smooth=0.00022] | Val   [Total=0.00687 MSE=0.00589 Smooth=0.00098]
Epoch 087/200 | λ=1.00e-04 | LR=3.05e-05 | Train [Total=0.01157 MSE=0.01132 Smooth=0.00024] | Val   [Total=0.00698 MSE=0.00597 Smooth=0.00101]
Epoch 088/200 | λ=1.00e-04 | LR=3.01e-05 | Train [Total=0.01435 MSE=0.01414 Smooth=0.00021] | Val   [Total=0.00645 MSE=0.00549 Smooth=0.00097]
Epoch 089/200 | λ=1.00e-04 | LR=2.97e-05 | Train [Total=0.01352 MSE=0.01334 Smooth=0.00018] | Val   [Total=0.00739 MSE=0.00641 Smooth=0.00099]
Epoch 090/200 | λ=1.00e-04 | LR=2.93e-05 | Train [Total=0.01057 MSE=0.01030 Smooth=0.00027] | Val   [Total=0.00658 MSE=0.00561 Smooth=0.00097]
Epoch 091/200 | λ=1.00e-04 | LR=2.90e-05 | Train [Total=0.01224 MSE=0.01199 Smooth=0.00025] | Val   [Total=0.00719 MSE=0.00621 Smooth=0.00097]
Epoch 092/200 | λ=1.00e-04 | LR=2.86e-05 | Train [Total=0.00931 MSE=0.00904 Smooth=0.00028] | Val   [Total=0.00616 MSE=0.00516 Smooth=0.00099]
Epoch 093/200 | λ=1.00e-04 | LR=2.82e-05 | Train [Total=0.00625 MSE=0.00597 Smooth=0.00029] | Val   [Total=0.00639 MSE=0.00541 Smooth=0.00098]
Epoch 094/200 | λ=1.00e-04 | LR=2.78e-05 | Train [Total=0.00995 MSE=0.00968 Smooth=0.00027] | Val   [Total=0.00610 MSE=0.00512 Smooth=0.00099]
Epoch 095/200 | λ=1.00e-04 | LR=2.74e-05 | Train [Total=0.01438 MSE=0.01414 Smooth=0.00024] | Val   [Total=0.00718 MSE=0.00622 Smooth=0.00097]
Epoch 096/200 | λ=1.00e-04 | LR=2.70e-05 | Train [Total=0.00756 MSE=0.00729 Smooth=0.00027] | Val   [Total=0.00626 MSE=0.00528 Smooth=0.00098]
Epoch 097/200 | λ=1.00e-04 | LR=2.67e-05 | Train [Total=0.01379 MSE=0.01353 Smooth=0.00026] | Val   [Total=0.00611 MSE=0.00514 Smooth=0.00097]
Epoch 098/200 | λ=1.00e-04 | LR=2.63e-05 | Train [Total=0.01059 MSE=0.01033 Smooth=0.00026] | Val   [Total=0.00606 MSE=0.00510 Smooth=0.00096]
Epoch 099/200 | λ=1.00e-04 | LR=2.59e-05 | Train [Total=0.01178 MSE=0.01153 Smooth=0.00025] | Val   [Total=0.00602 MSE=0.00506 Smooth=0.00096]
Epoch 100/200 | λ=1.00e-04 | LR=2.55e-05 | Train [Total=0.01015 MSE=0.00988 Smooth=0.00027] | Val   [Total=0.00627 MSE=0.00530 Smooth=0.00097]
Epoch 101/200 | λ=1.00e-04 | LR=2.51e-05 | Train [Total=0.01132 MSE=0.01106 Smooth=0.00026] | Val   [Total=0.00657 MSE=0.00558 Smooth=0.00099]
Epoch 102/200 | λ=1.00e-04 | LR=2.47e-05 | Train [Total=0.01092 MSE=0.01062 Smooth=0.00031] | Val   [Total=0.00676 MSE=0.00579 Smooth=0.00097]
